filename,timestamp_sec,timestamp_nanosec,x,y,z,qx,qy,qz,qw
000001.avi,24,68000000,0.8728204624759583,0.5636594756264854,0.0,0.0,0.0,0.3887337932006469,0.9213501169608851
000002.avi,28,967000000,1.5523687132204103,1.3331562138113142,0.0,0.0,0.0,0.560661405048423,0.8280451611410625
000003.avi,33,867000000,2.1665724478696164,2.073626513546693,0.0,0.0,0.0,0.3908486756731887,0.9204549487750688
000004.avi,38,768000000,2.8605116326749895,2.7952730744830303,0.0,0.0,0.0,0.4650748686088168,0.8852713519528868
000005.avi,43,668000000,3.402956669664906,3.4832386459415208,0.0,0.0,0.0,0.37276731464821583,0.9279248510143254
000006.avi,48,567000000,4.097319945648234,4.166912677164852,0.0,0.0,0.0,0.3512783855451828,0.9362710589614366
000007.avi,53,433000000,4.785758362715973,4.764134821716983,0.0,0.0,0.0,0.37280971377058775,0.9279078172524965
000008.avi,58,633000000,5.256074352466949,5.5291605436193425,0.0,0.0,0.0,0.6178830788423851,0.7862699923564773
000009.avi,63,534000000,5.339470575576767,6.469479134536488,0.0,0.0,0.0,0.7717378506014326,0.6359407912290901
000010.avi,68,434000000,5.04088641890498,7.3850473531627765,0.0,0.0,0.0,0.7796912746632866,0.6261641288144341
000011.avi,85,301000000,5.23189458714347,7.883752247971013,0.0,0.0,0.0,-0.4512820520664041,0.8923813699773967
000012.avi,90,200000000,5.3040858226692755,6.878117978980463,0.0,0.0,0.0,-0.7286291482942496,0.6849084349429465
000013.avi,95,300000000,5.333849348266204,5.88622223464572,0.0,0.0,0.0,-0.7049254227609766,0.7092814309886157
000014.avi,100,202000000,5.12947352338394,4.967710792638025,0.0,0.0,0.0,-0.8446063461338841,0.5353878221162387
000015.avi,105,100000000,4.909602345359272,3.99647179359422,0.0,0.0,0.0,-0.7120388666046953,0.7021400518730581
000016.avi,110,2000000,4.924661808347591,3.0385400567046976,0.0,0.0,0.0,-0.6230794937370115,0.782158516212941
000017.avi,115,33000000,5.351010743447812,2.2274702895098906,0.0,0.0,0.0,-0.3370673059571316,0.9414805527756808
000018.avi,121,267000000,6.311174721566167,2.2466996451466494,0.0,0.0,0.0,0.12771767060332676,0.991810564884071
000019.avi,126,368000000,6.830137492132861,2.9447749970155606,0.0,0.0,0.0,0.7144861086249282,0.6996496270148418
000020.avi,131,267000000,7.081615189123389,3.8903949271839355,0.0,0.0,0.0,0.5292083611971218,0.8484919035789656
000021.avi,136,133000000,7.509462749014517,4.792167513570631,0.0,0.0,0.0,0.5329481269444319,0.8461479149572028
000022.avi,141,2000000,7.917771456112151,5.664879296610126,0.0,0.0,0.0,0.5314532919659497,0.8470875978660973
000023.avi,244,368000000,8.21232244498648,6.325392183275356,0.0,0.0,0.0,0.9355948240506486,0.353075523379398
000024.avi,259,500000000,7.622923188144496,5.6613183776836316,0.0,0.0,0.0,-0.7671495350206021,0.6414683085840438
000025.avi,264,400000000,7.371470372911601,4.71710913890038,0.0,0.0,0.0,-0.8192412385572568,0.5734490326499573
000026.avi,269,301000000,6.996256476063948,3.821625779284937,0.0,0.0,0.0,-0.8571919699405868,0.5149970161752166
000027.avi,274,234000000,6.718852901869594,2.925408656566044,0.0,0.0,0.0,-0.7065665909488968,0.7076465590638128
000028.avi,279,167000000,7.111778349873066,2.072021146621435,0.0,0.0,0.0,-0.3098870323931783,0.9507733837011579
000029.avi,284,67000000,8.032223992390247,1.8666580608497965,0.0,0.0,0.0,0.010018894129034839,0.9999498096206785
000030.avi,289,200000000,8.960058476930755,2.119579132970345,0.0,0.0,0.0,0.0896612616707308,0.995972317966525
000031.avi,294,101000000,9.869117379554089,1.9514968420142749,0.0,0.0,0.0,-0.32987717433256913,0.9440238608501164
000032.avi,299,33000000,10.676663156828301,1.48192952475758,0.0,0.0,0.0,-0.07479579652362706,0.9971988712500612
000033.avi,338,733000000,10.906418829850738,1.904969074161036,0.0,0.0,0.0,0.9788282679349444,0.2046832232780126
000034.avi,343,633000000,9.854170731427661,1.990555827313873,0.0,0.0,0.0,0.998953492689398,0.04573750587486148
000035.avi,348,600000000,8.97347873695113,2.169421980550826,0.0,0.0,0.0,0.9995317666465161,0.030598161129299643
000036.avi,353,502000000,8.072295307451714,2.052843330062853,0.0,0.0,0.0,0.9894264641782468,-0.14503541630833736
000037.avi,358,400000000,7.146499211507071,1.774199239604517,0.0,0.0,0.0,0.9812034789595504,-0.19297599041765565
000038.avi,363,301000000,6.212672890438435,1.4530263441434315,0.0,0.0,0.0,0.9874053649899779,-0.15821076192537775
000039.avi,368,200000000,5.232155622630582,1.119974041179855,0.0,0.0,0.0,0.9868130892922738,-0.1618639144511181
000040.avi,373,301000000,4.545555846457223,0.6077022284053601,0.0,0.0,0.0,0.8854175164204562,-0.46479653786988473
000041.avi,378,201000000,4.094311762970884,-0.2595500907382853,0.0,0.0,0.0,-0.7686035892519462,0.6397253493406571
000042.avi,383,101000000,4.081460431402082,-1.2525183101408537,0.0,0.0,0.0,-0.6944459660874547,0.7195448562701714
000043.avi,388,0,4.104710839823792,-2.2392870490250747,0.0,0.0,0.0,-0.7041883240672835,0.7100132423041915
000044.avi,392,967000000,4.147950491270054,-3.2690188398729987,0.0,0.0,0.0,-0.5083765276541958,0.8611348942704985
000045.avi,398,234000000,4.7940118308237505,-4.014696784324872,0.0,0.0,0.0,-0.39196616086836644,0.9199796349561842
000046.avi,403,101000000,5.669336298378806,-4.33405561978279,0.0,0.0,0.0,-0.02921859911250415,0.9995730455879164
000047.avi,408,0,6.662342847625677,-4.325898514966853,0.0,0.0,0.0,-0.0038034970443881484,0.9999927666789562
000048.avi,412,901000000,7.638280978605591,-4.349149026813173,0.0,0.0,0.0,-0.026266414425027633,0.9996549782166109
000049.avi,417,900000000,8.555778730829621,-4.405562491284199,0.0,0.0,0.0,-0.021315470435661843,0.999772799550031
000050.avi,422,867000000,9.497016864616617,-4.319630168799449,0.0,-0.0,-0.0,0.1824294306175255,0.9832189495959511
000051.avi,427,800000000,10.263555937341426,-3.7161013876599807,0.0,-0.0,-0.0,0.2502204639857886,0.9681888862214525
000052.avi,551,600000000,10.44465431980484,-3.6297684230356477,0.0,-0.0,-0.0,0.08937098695005297,0.9959984069724075
000053.avi,624,334000000,10.056420736954813,-3.749073684326744,0.0,0.0,0.0,-0.6585793224552072,0.7525113128946569
000054.avi,629,800000000,9.454976110711133,-4.393550096380425,0.0,0.0,0.0,0.9966793393370443,-0.08142662057750422
000055.avi,634,701000000,8.44520328392873,-4.419432114535173,0.0,0.0,0.0,0.9993937416915332,0.03481593123553
000056.avi,639,600000000,7.448830818799778,-4.331148653465789,0.0,0.0,0.0,0.998783981623173,0.04930069018747507
000057.avi,644,500000000,6.523709929065206,-4.302303797931181,0.0,0.0,0.0,0.9999891314442853,0.004662294853832073
000058.avi,649,433000000,5.613926692626421,-4.394912276059726,0.0,0.0,0.0,0.9306506260954289,-0.3659090216818743
000059.avi,654,333000000,5.254312279479417,-5.256812324200974,0.0,0.0,0.0,-0.794780091298091,0.6068975255149737
000060.avi,659,333000000,4.866327115874851,-6.148463126896511,0.0,0.0,0.0,0.8892499991644294,-0.45742151128479125
000061.avi,664,233000000,4.0991224892925855,-6.840859414672254,0.0,0.0,0.0,0.9480895538207076,-0.3180034558555167
000062.avi,669,168000000,3.336698137914105,-7.443380362298958,0.0,0.0,0.0,0.8712090160371794,-0.49091226341937094
000063.avi,674,101000000,3.010834571413307,-8.252187019937303,0.0,0.0,0.0,0.8773475588948643,-0.47985545834263754
000064.avi,679,33000000,2.6621813095017606,-9.014457680783377,0.0,0.0,0.0,-0.7459655168063593,0.6659845701935003
000065.avi,722,634000000,2.4616105187534822,-9.354882921870235,0.0,0.0,0.0,0.7815083692251756,0.6238947578165782
000066.avi,727,567000000,2.707695428756919,-8.409307955789352,0.0,0.0,0.0,0.48996102277690723,0.8717443410538477
000067.avi,732,501000000,3.547050011746137,-8.022200230823007,0.0,0.0,0.0,0.030704683738954904,0.9995285000421402
000068.avi,737,468000000,4.271753796629632,-8.510146437201314,0.0,0.0,0.0,-0.5326300276042648,0.8463481870331383
000069.avi,742,367000000,4.483390940966293,-9.493401736532693,0.0,0.0,0.0,-0.7155723401885863,0.6985386359801654
000070.avi,747,233000000,4.493262149545256,-10.45863235964772,0.0,0.0,0.0,-0.7111706679671141,0.703019403020435
000071.avi,752,133000000,4.495286811652836,-11.40499542755953,0.0,0.0,0.0,-0.715599695028918,0.6985106130006327
000072.avi,757,34000000,4.497465786565709,-12.429386578337898,0.0,0.0,0.0,-0.709632269783598,0.7045722402151385
000073.avi,761,933000000,4.496227272636949,-13.362255370152154,0.0,0.0,0.0,-0.6839046951834801,0.7295713590225367
000074.avi,766,833000000,4.526226988016411,-14.341290237720456,0.0,0.0,0.0,-0.6845240172294286,0.7289903084651298
000075.avi,771,736000000,4.564027954121528,-15.255908454112397,0.0,0.0,0.0,-0.7161287701496509,0.6979681830599075
000076.avi,776,634000000,4.593810361365584,-16.155682404883102,0.0,0.0,0.0,-0.6979472844416694,0.7161491381971352
000077.avi,781,534000000,4.754035918365904,-17.12974719365523,0.0,0.0,0.0,-0.5977726269421008,0.8016656949618962
000078.avi,786,468000000,5.373595882353655,-17.911905993627897,0.0,0.0,0.0,-0.30014317659408296,0.9538941626532857
000079.avi,791,367000000,6.203181173548813,-18.262209992632897,0.0,0.0,0.0,-0.045923734094660766,0.9989449487568386
000080.avi,826,700000000,6.685198492807414,-17.949019691336943,0.0,0.0,0.0,0.9736528100754477,0.22803553545924424
000081.avi,831,801000000,5.720640950785022,-18.045410126257373,0.0,0.0,0.0,0.9915211065806309,-0.1299457394650603
000082.avi,836,767000000,4.783308225560495,-18.0011802144713,0.0,0.0,0.0,0.9886311457820294,0.15036109067744796
000083.avi,841,700000000,3.796100005731976,-17.756113211067937,0.0,0.0,0.0,0.9999274838249542,0.012042719439388113
000084.avi,846,603000000,2.829559735832447,-17.71460282288322,0.0,0.0,0.0,0.9829952917062088,-0.18363076126680278
000085.avi,851,733000000,2.2805532140124676,-18.3042413355153,0.0,0.0,0.0,-0.8126969485968,0.5826865965005976
